Product,Initial_Price,New_Price,Initial_Quantity,New_Quantity,Category,Market
Coffee,4.00,5.00,200,150,Beverage,Local
Airline_Ticket,300.00,270.00,100,130,Travel,National
Salt,1.00,1.20,1000,980,Grocery,Regional
Luxury_Watch,5000.00,5500.00,50,30,Luxury,Global
Gasoline,3.50,4.00,10000,9200,Energy,National
Smartphone,800.00,750.00,5000,6500,Electronics,Global
Movie_Ticket,12.00,15.00,500,350,Entertainment,Local
Generic_Drug,10.00,12.00,2000,1900,Healthcare,National
Designer_Handbag,2000.00,2400.00,100,65,Luxury,Global
Bread,2.50,2.75,1000,920,Grocery,Local
Streaming_Service,10.00,12.00,100000,85000,Entertainment,Global
Gym_Membership,50.00,55.00,600,505,Fitness,Local
Electricity,0.12,0.15,50000,48000,Utility,Regional
Restaurant_Meal,25.00,30.00,300,210,Dining,Local
Laptop,1000.00,900.00,2000,2800,Electronics,Global
Premium_Ice_Cream,5.00,6.00,800,640,Food,Local
Taxi_Ride,15.00,18.00,1000,750,Transportation,Local
Water_Bottle,1.50,2.00,5000,4200,Beverage,Local
Concert_Ticket,100.00,120.00,500,350,Entertainment,Regional
Organic_Produce,6.00,7.00,400,340,Grocery,Local
